Provincias;Sexo;Periodo;Total
23 Jaén;Total;2003;651.565
23 Jaén;Total;2002;647.387
23 Jaén;Total;2001;645.781
23 Jaén;Total;2000;645.711
23 Jaén;Total;1999;649.662
23 Jaén;Total;1998;645.792
23 Jaén;Total;1997;""
23 Jaén;Total;1996;648.551
24 León;Total;2021;451.706
24 León;Total;2020;456.439
24 León;Total;2019;460.001
24 León;Total;2018;463.746
24 León;Total;2017;468.316
24 León;Total;2016;473.604
24 León;Total;2015;479.395
24 León;Total;2014;484.694
24 León;Total;2013;489.752
24 León;Total;2012;494.451
24 León;Total;2011;497.799
24 León;Total;2010;499.284
24 León;Total;2009;500.169
24 León;Total;2008;500.200
24 León;Total;2007;497.387
24 León;Total;2006;498.223
24 León;Total;2005;495.902
24 León;Total;2004;492.720
24 León;Total;2003;495.998
24 León;Total;2002;496.655
24 León;Total;2001;499.517
24 León;Total;2000;502.155
24 León;Total;1999;506.511
24 León;Total;1998;506.365
24 León;Total;1997;""
24 León;Total;1996;517.191
25 Lleida;Total;2021;439.727
25 Lleida;Total;2020;438.517
25 Lleida;Total;2019;434.930
25 Lleida;Total;2018;432.866
25 Lleida;Total;2017;432.384
25 Lleida;Total;2016;434.041
25 Lleida;Total;2015;436.029
25 Lleida;Total;2014;438.001
25 Lleida;Total;2013;440.915
25 Lleida;Total;2012;443.032
25 Lleida;Total;2011;442.308
25 Lleida;Total;2010;439.768
25 Lleida;Total;2009;436.402
25 Lleida;Total;2008;426.872
25 Lleida;Total;2007;414.015
25 Lleida;Total;2006;407.496
25 Lleida;Total;2005;399.439
25 Lleida;Total;2004;385.092
25 Lleida;Total;2003;377.639
25 Lleida;Total;2002;371.055
25 Lleida;Total;2001;365.023
25 Lleida;Total;2000;361.590
25 Lleida;Total;1999;359.361
25 Lleida;Total;1998;357.903
25 Lleida;Total;1997;""
25 Lleida;Total;1996;356.456
27 Lugo;Total;2021;326.013
27 Lugo;Total;2020;327.946
